#,survived,class,gender,age,sib_sp,par_ch,fare,embarked,family,age_bin
684,perished,third,male,14,5,2,46.9,"Southampton, UK",seven,11 to 20
72,perished,third,female,16,5,2,46.9,"Southampton, UK",seven,11 to 20
505,survived,first,female,16,0,0,86.5,"Southampton, UK",none,11 to 20
888,survived,first,female,19,0,0,30,"Southampton, UK",none,11 to 20
628,survived,first,female,21,0,0,77.9583,"Southampton, UK",none,11 to 20
85,survived,second,female,17,0,0,10.5,"Southampton, UK",none,11 to 20
227,survived,second,male,19,0,0,10.5,"Southampton, UK",none,11 to 20
428,survived,second,female,19,0,0,26,"Southampton, UK",none,11 to 20
57,survived,second,female,21,0,0,10.5,"Southampton, UK",none,11 to 20
221,survived,third,male,16,0,0,8.05,"Southampton, UK",none,11 to 20
205,survived,third,male,18,0,0,8.05,"Southampton, UK",none,11 to 20
678,survived,third,female,18,0,0,9.8417,"Southampton, UK",none,11 to 20
787,survived,third,female,18,0,0,7.4958,"Southampton, UK",none,11 to 20
284,survived,third,male,19,0,0,8.05,"Southampton, UK",none,11 to 20
107,survived,third,female,21,0,0,7.65,"Southampton, UK",none,11 to 20
392,survived,third,male,21,0,0,7.7958,"Southampton, UK",none,11 to 20
690,survived,first,female,15,0,1,211.3375,"Southampton, UK",one,11 to 20
854,survived,first,female,16,0,1,39.4,"Southampton, UK",one,11 to 20
782,survived,first,female,17,1,0,57,"Southampton, UK",one,11 to 20
447,survived,second,female,13,0,1,19.5,"Southampton, UK",one,11 to 20
652,survived,second,female,18,0,1,23,"Southampton, UK",one,11 to 20
547,survived,second,female,19,1,0,26,"Southampton, UK",one,11 to 20
856,survived,third,female,18,0,1,9.35,"Southampton, UK",one,11 to 20
193,survived,third,female,19,1,0,7.8542,"Southampton, UK",one,11 to 20
665,survived,third,male,20,1,0,7.925,"Southampton, UK",one,11 to 20
586,survived,first,female,18,0,2,79.65,"Southampton, UK",two,11 to 20
137,survived,first,female,19,0,2,26.2833,"Southampton, UK",two,11 to 20
418,survived,second,female,18,0,2,13,"Southampton, UK",two,11 to 20
436,survived,first,female,14,1,2,120,"Southampton, UK",three,11 to 20
69,survived,third,female,17,4,2,7.925,"Southampton, UK",six ,11 to 20
84,perished,first,male,28,0,0,47.1,"Southampton, UK",none,21 to 30
783,perished,first,male,29,0,0,30,"Southampton, UK",none,21 to 30
868,perished,first,male,31,0,0,50.4958,"Southampton, UK",none,21 to 30
399,perished,second,male,23,0,0,10.5,"Southampton, UK",none,21 to 30
659,perished,second,male,23,0,0,13,"Southampton, UK",none,21 to 30
734,perished,second,male,23,0,0,13,"Southampton, UK",none,21 to 30
735,perished,second,male,23,0,0,13,"Southampton, UK",none,21 to 30
200,perished,second,female,24,0,0,13,"Southampton, UK",none,21 to 30
235,perished,second,male,24,0,0,10.5,"Southampton, UK",none,21 to 30
865,perished,second,male,24,0,0,13,"Southampton, UK",none,21 to 30
135,perished,second,male,25,0,0,13,"Southampton, UK",none,21 to 30
344,perished,second,male,25,0,0,13,"Southampton, UK",none,21 to 30
667,perished,second,male,25,0,0,13,"Southampton, UK",none,21 to 30
620,perished,second,male,26,0,0,10.5,"Southampton, UK",none,21 to 30
222,perished,second,male,27,0,0,13,"Southampton, UK",none,21 to 30
552,perished,second,male,27,0,0,26,"Southampton, UK",none,21 to 30
887,perished,second,male,27,0,0,13,"Southampton, UK",none,21 to 30
343,perished,second,male,28,0,0,13,"Southampton, UK",none,21 to 30
563,perished,second,male,28,0,0,13.5,"Southampton, UK",none,21 to 30
884,perished,second,male,28,0,0,10.5,"Southampton, UK",none,21 to 30
243,perished,second,male,29,0,0,10.5,"Southampton, UK",none,21 to 30
179,perished,second,male,30,0,0,13,"Southampton, UK",none,21 to 30
214,perished,second,male,30,0,0,13,"Southampton, UK",none,21 to 30
220,perished,second,male,30,0,0,10.5,"Southampton, UK",none,21 to 30
419,perished,second,male,30,0,0,13,"Southampton, UK",none,21 to 30
440,perished,second,male,31,0,0,10.5,"Southampton, UK",none,21 to 30
81,perished,third,male,22,0,0,9,"Southampton, UK",none,21 to 30
113,perished,third,male,22,0,0,8.05,"Southampton, UK",none,21 to 30
213,perished,third,male,22,0,0,7.25,"Southampton, UK",none,21 to 30
226,perished,third,male,22,0,0,9.35,"Southampton, UK",none,21 to 30
244,perished,third,male,22,0,0,7.125,"Southampton, UK",none,21 to 30
288,perished,third,male,22,0,0,7.8958,"Southampton, UK",none,21 to 30
321,perished,third,male,22,0,0,7.25,"Southampton, UK",none,21 to 30
396,perished,third,male,22,0,0,7.7958,"Southampton, UK",none,21 to 30
475,perished,third,female,22,0,0,9.8375,"Southampton, UK",none,21 to 30
479,perished,third,male,22,0,0,7.5208,"Southampton, UK",none,21 to 30
522,perished,third,male,22,0,0,7.8958,"Southampton, UK",none,21 to 30
589,perished,third,male,22,0,0,8.05,"Southampton, UK",none,21 to 30
883,perished,third,female,22,0,0,10.5167,"Southampton, UK",none,21 to 30
351,perished,third,male,23,0,0,9.225,"Southampton, UK",none,21 to 30
754,perished,third,male,23,0,0,7.8958,"Southampton, UK",none,21 to 30
817,perished,third,female,23,0,0,7.925,"Southampton, UK",none,21 to 30
834,perished,third,male,23,0,0,7.8542,"Southampton, UK",none,21 to 30
90,perished,third,male,24,0,0,8.05,"Southampton, UK",none,21 to 30
211,perished,third,male,24,0,0,7.05,"Southampton, UK",none,21 to 30
294,perished,third,female,24,0,0,8.85,"Southampton, UK",none,21 to 30
295,perished,third,male,24,0,0,7.8958,"Southampton, UK",none,21 to 30
500,perished,third,male,24,0,0,7.7958,"Southampton, UK",none,21 to 30
515,perished,third,male,24,0,0,7.4958,"Southampton, UK",none,21 to 30
771,perished,third,male,24,0,0,9.5,"Southampton, UK",none,21 to 30
677,perished,third,male,24.5,0,0,8.05,"Southampton, UK",none,21 to 30
76,perished,third,male,25,0,0,7.65,"Southampton, UK",none,21 to 30
247,perished,third,female,25,0,0,7.775,"Southampton, UK",none,21 to 30
785,perished,third,male,25,0,0,7.05,"Southampton, UK",none,21 to 30
786,perished,third,male,25,0,0,7.25,"Southampton, UK",none,21 to 30
795,perished,third,male,25,0,0,7.8958,"Southampton, UK",none,21 to 30
885,perished,third,male,25,0,0,7.05,"Southampton, UK",none,21 to 30
163,perished,third,male,26,0,0,7.775,"Southampton, UK",none,21 to 30
402,perished,third,male,26,0,0,8.05,"Southampton, UK",none,21 to 30
629,perished,third,male,26,0,0,7.8958,"Southampton, UK",none,21 to 30
811,perished,third,male,26,0,0,7.8875,"Southampton, UK",none,21 to 30
871,perished,third,male,26,0,0,7.8958,"Southampton, UK",none,21 to 30
322,perished,third,male,27,0,0,7.8958,"Southampton, UK",none,21 to 30
101,perished,third,female,28,0,0,7.8958,"Southampton, UK",none,21 to 30
106,perished,third,male,28,0,0,7.8958,"Southampton, UK",none,21 to 30
170,perished,third,male,28,0,0,56.4958,"Southampton, UK",none,21 to 30
201,perished,third,male,28,0,0,9.5,"Southampton, UK",none,21 to 30
282,perished,third,male,28,0,0,7.8542,"Southampton, UK",none,21 to 30
314,perished,third,male,28,0,0,7.8958,"Southampton, UK",none,21 to 30
356,perished,third,male,28,0,0,9.5,"Southampton, UK",none,21 to 30
509,perished,third,male,28,0,0,22.525,"Southampton, UK",none,21 to 30
757,perished,third,male,28,0,0,7.7958,"Southampton, UK",none,21 to 30
736,perished,third,male,28.5,0,0,16.1,"Southampton, UK",none,21 to 30
91,perished,third,male,29,0,0,8.05,"Southampton, UK",none,21 to 30
232,perished,third,male,29,0,0,7.775,"Southampton, UK",none,21 to 30
423,perished,third,male,29,0,0,7.875,"Southampton, UK",none,21 to 30
714,perished,third,male,29,0,0,9.4833,"Southampton, UK",none,21 to 30
158,perished,third,male,30,0,0,8.05,"Southampton, UK",none,21 to 30
366,perished,third,male,30,0,0,7.25,"Southampton, UK",none,21 to 30
489,perished,third,male,30,0,0,8.05,"Southampton, UK",none,21 to 30
535,perished,third,female,30,0,0,8.6625,"Southampton, UK",none,21 to 30
607,perished,third,male,30,0,0,7.8958,"Southampton, UK",none,21 to 30
815,perished,third,male,30.5,0,0,8.05,"Southampton, UK",none,21 to 30
397,perished,third,female,31,0,0,7.8542,"Southampton, UK",none,21 to 30
806,perished,third,male,31,0,0,7.775,"Southampton, UK",none,21 to 30
337,perished,first,male,29,1,0,66.6,"Southampton, UK",one,21 to 30
672,perished,first,male,31,1,0,52,"Southampton, UK",one,21 to 30
729,perished,second,male,25,1,0,26,"Southampton, UK",one,21 to 30
42,perished,second,female,27,1,0,21,"Southampton, UK",one,21 to 30
849,perished,second,male,28,0,1,33,"Southampton, UK",one,21 to 30
118,perished,second,male,29,1,0,21,"Southampton, UK",one,21 to 30
1,perished,third,male,22,1,0,7.25,"Southampton, UK",one,21 to 30
744,perished,third,male,24,1,0,16.1,"Southampton, UK",one,21 to 30
354,perished,third,male,25,1,0,17.8,"Southampton, UK",one,21 to 30
443,perished,third,male,25,1,0,7.775,"Southampton, UK",one,21 to 30
730,perished,third,female,25,1,0,7.925,"Southampton, UK",one,21 to 30
618,perished,third,female,26,1,0,16.1,"Southampton, UK",one,21 to 30
705,perished,third,male,26,1,0,7.8542,"Southampton, UK",one,21 to 30
404,perished,third,male,28,1,0,15.85,"Southampton, UK",one,21 to 30
478,perished,third,male,29,1,0,7.0458,"Southampton, UK",one,21 to 30
254,perished,third,male,30,1,0,16.1,"Southampton, UK",one,21 to 30
19,perished,third,female,31,1,0,18,"Southampton, UK",one,21 to 30
656,perished,second,male,24,2,0,73.5,"Southampton, UK",two,21 to 30
313,perished,second,female,26,1,1,26,"Southampton, UK",two,21 to 30
638,perished,second,male,31,1,1,26.25,"Southampton, UK",two,21 to 30
566,perished,third,male,24,2,0,24.15,"Southampton, UK",two,21 to 30
70,perished,third,male,26,2,0,8.6625,"Southampton, UK",two,21 to 30
393,perished,third,male,28,2,0,7.925,"Southampton, UK",two,21 to 30
424,perished,third,female,28,1,1,14.4,"Southampton, UK",two,21 to 30
252,perished,third,female,29,1,1,10.4625,"Southampton, UK",two,21 to 30
800,perished,third,female,30,1,1,24.15,"Southampton, UK",two,21 to 30
499,perished,first,female,25,1,2,151.55,"Southampton, UK",three,21 to 30
530,perished,second,male,23,2,1,11.5,"Southampton, UK",three,21 to 30
94,perished,third,male,26,1,2,20.575,"Southampton, UK",three,21 to 30
568,perished,third,female,29,0,4,21.075,"Southampton, UK",four,21 to 30
709,survived,first,female,22,0,0,151.55,"Southampton, UK",none,21 to 30
291,survived,first,female,26,0,0,78.85,"Southampton, UK",none,21 to 30
608,survived,first,male,27,0,0,30.5,"Southampton, UK",none,21 to 30
24,survived,first,male,28,0,0,35.5,"Southampton, UK",none,21 to 30
431,survived,first,male,28,0,0,26.55,"Southampton, UK",none,21 to 30
731,survived,first,female,29,0,0,211.3375,"Southampton, UK",none,21 to 30
258,survived,first,female,30,0,0,86.5,"Southampton, UK",none,21 to 30
521,survived,first,female,30,0,0,93.5,"Southampton, UK",none,21 to 30
346,survived,second,female,24,0,0,13,"Southampton, UK",none,21 to 30
718,survived,second,female,27,0,0,10.5,"Southampton, UK",none,21 to 30
400,survived,second,female,28,0,0,12.65,"Southampton, UK",none,21 to 30
444,survived,second,female,28,0,0,13,"Southampton, UK",none,21 to 30
636,survived,second,female,28,0,0,13,"Southampton, UK",none,21 to 30
67,survived,second,female,29,0,0,10.5,"Southampton, UK",none,21 to 30
748,survived,second,female,30,0,0,13,"Southampton, UK",none,21 to 30
674,survived,second,male,31,0,0,13,"Southampton, UK",none,21 to 30
142,survived,third,female,22,0,0,7.75,"Southampton, UK",none,21 to 30
377,survived,third,female,22,0,0,7.25,"Southampton, UK",none,21 to 30
555,survived,third,female,22,0,0,7.775,"Southampton, UK",none,21 to 30
650,survived,third,female,23,0,0,7.55,"Southampton, UK",none,21 to 30
128,survived,third,male,24,0,0,7.1417,"Southampton, UK",none,21 to 30
272,survived,third,male,25,0,0,0,"Southampton, UK",none,21 to 30
3,survived,third,female,26,0,0,7.925,"Southampton, UK",none,21 to 30
316,survived,third,female,26,0,0,7.8542,"Southampton, UK",none,21 to 30
510,survived,third,male,26,0,0,56.4958,"Southampton, UK",none,21 to 30
147,survived,third,male,27,0,0,7.7958,"Southampton, UK",none,21 to 30
217,survived,third,female,27,0,0,7.925,"Southampton, UK",none,21 to 30
805,survived,third,male,27,0,0,6.975,"Southampton, UK",none,21 to 30
822,survived,third,male,27,0,0,8.6625,"Southampton, UK",none,21 to 30
82,survived,third,male,29,0,0,9.5,"Southampton, UK",none,21 to 30
80,survived,third,female,30,0,0,12.475,"Southampton, UK",none,21 to 30
287,survived,third,male,30,0,0,9.5,"Southampton, UK",none,21 to 30
745,survived,third,male,31,0,0,7.925,"Southampton, UK",none,21 to 30
798,survived,third,female,31,0,0,8.6833,"Southampton, UK",none,21 to 30
152,survived,first,female,22,1,0,66.6,"Southampton, UK",one,21 to 30
357,survived,first,female,22,0,1,55,"Southampton, UK",one,21 to 30
725,survived,first,male,27,1,0,53.1,"Southampton, UK",one,21 to 30
691,survived,first,male,31,1,0,57,"Southampton, UK",one,21 to 30
317,survived,second,female,24,1,0,26,"Southampton, UK",one,21 to 30
881,survived,second,female,25,0,1,26,"Southampton, UK",one,21 to 30
427,survived,second,female,28,1,0,26,"Southampton, UK",one,21 to 30
54,survived,second,female,29,1,0,26,"Southampton, UK",one,21 to 30
134,survived,second,female,29,1,0,26,"Southampton, UK",one,21 to 30
143,survived,third,female,24,1,0,15.85,"Southampton, UK",one,21 to 30
268,survived,third,male,25,1,0,7.775,"Southampton, UK",one,21 to 30
824,survived,third,female,27,0,1,12.475,"Southampton, UK",one,21 to 30
319,survived,first,female,31,0,2,164.8667,"Southampton, UK",two,21 to 30
324,survived,second,female,22,1,1,29,"Southampton, UK",two,21 to 30
248,survived,second,female,24,0,2,14.5,"Southampton, UK",two,21 to 30
581,survived,second,female,25,1,1,30,"Southampton, UK",two,21 to 30
802,survived,second,female,31,1,1,26.25,"Southampton, UK",two,21 to 30
395,survived,third,female,24,0,2,16.7,"Southampton, UK",two,21 to 30
9,survived,third,female,27,0,2,11.1333,"Southampton, UK",two,21 to 30
329,survived,third,female,31,1,1,20.525,"Southampton, UK",two,21 to 30
601,survived,second,female,24,2,1,27,"Southampton, UK",three,21 to 30
616,survived,second,female,24,1,2,65,"Southampton, UK",three,21 to 30
727,survived,second,female,30,3,0,21,"Southampton, UK",three,21 to 30
89,survived,first,female,23,3,2,263,"Southampton, UK",five,21 to 30
342,survived,first,female,24,3,2,263,"Southampton, UK",five,21 to 30
438,survived,second,female,24,2,3,18.75,"Southampton, UK",five,21 to 30
873,perished,first,male,33,0,0,5,"Southampton, UK",none,31 to 40
823,perished,first,male,38,0,0,0,"Southampton, UK",none,31 to 40
807,perished,first,male,39,0,0,0,"Southampton, UK",none,31 to 40
264,perished,first,male,40,0,0,0,"Southampton, UK",none,31 to 40
71,perished,second,male,32,0,0,10.5,"Southampton, UK",none,31 to 40
240,perished,second,male,33,0,0,12.275,"Southampton, UK",none,31 to 40
723,perished,second,male,34,0,0,13,"Southampton, UK",none,31 to 40
801,perished,second,male,34,0,0,13,"Southampton, UK",none,31 to 40
21,perished,second,male,35,0,0,26,"Southampton, UK",none,31 to 40
813,perished,second,male,35,0,0,10.5,"Southampton, UK",none,31 to 40
266,perished,second,male,36,0,0,10.5,"Southampton, UK",none,31 to 40
345,perished,second,male,36,0,0,13,"Southampton, UK",none,31 to 40
358,perished,second,female,38,0,0,13,"Southampton, UK",none,31 to 40
706,perished,second,male,39,0,0,26,"Southampton, UK",none,31 to 40
796,perished,second,male,39,0,0,13,"Southampton, UK",none,31 to 40
809,perished,second,male,39,0,0,13,"Southampton, UK",none,31 to 40
383,perished,third,male,32,0,0,7.925,"Southampton, UK",none,31 to 40
520,perished,third,male,32,0,0,7.8958,"Southampton, UK",none,31 to 40
637,perished,third,male,32,0,0,7.925,"Southampton, UK",none,31 to 40
770,perished,third,male,32,0,0,8.3625,"Southampton, UK",none,31 to 40
104,perished,third,male,33,0,0,8.6542,"Southampton, UK",none,31 to 40
720,perished,third,male,33,0,0,7.775,"Southampton, UK",none,31 to 40
753,perished,third,male,33,0,0,9.5,"Southampton, UK",none,31 to 40
882,perished,third,male,33,0,0,7.8958,"Southampton, UK",none,31 to 40
203,perished,third,male,34,0,0,6.4958,"Southampton, UK",none,31 to 40
462,perished,third,male,34,0,0,8.05,"Southampton, UK",none,31 to 40
759,perished,third,male,34,0,0,8.05,"Southampton, UK",none,31 to 40
5,perished,third,male,35,0,0,8.05,"Southampton, UK",none,31 to 40
364,perished,third,male,35,0,0,7.05,"Southampton, UK",none,31 to 40
591,perished,third,male,35,0,0,7.125,"Southampton, UK",none,31 to 40
615,perished,third,male,35,0,0,8.05,"Southampton, UK",none,31 to 40
180,perished,third,male,36,0,0,0,"Southampton, UK",none,31 to 40
190,perished,third,male,36,0,0,7.8958,"Southampton, UK",none,31 to 40
664,perished,third,male,36,0,0,7.4958,"Southampton, UK",none,31 to 40
504,perished,third,female,37,0,0,9.5875,"Southampton, UK",none,31 to 40
109,perished,third,male,38,0,0,7.8958,"Southampton, UK",none,31 to 40
466,perished,third,male,38,0,0,7.05,"Southampton, UK",none,31 to 40
472,perished,third,male,38,0,0,8.6625,"Southampton, UK",none,31 to 40
529,perished,third,male,39,0,0,7.925,"Southampton, UK",none,31 to 40
812,perished,third,male,39,0,0,24.15,"Southampton, UK",none,31 to 40
562,perished,third,male,40,0,0,7.8958,"Southampton, UK",none,31 to 40
762,perished,third,male,41,0,0,7.125,"Southampton, UK",none,31 to 40
742,perished,first,male,36,1,0,78.85,"Southampton, UK",one,31 to 40
138,perished,first,male,37,1,0,53.1,"Southampton, UK",one,31 to 40
333,perished,first,male,38,0,1,153.4625,"Southampton, UK",one,31 to 40
100,perished,second,male,34,1,0,26,"Southampton, UK",one,31 to 40
406,perished,second,male,34,1,0,21,"Southampton, UK",one,31 to 40
477,perished,second,male,34,1,0,21,"Southampton, UK",one,31 to 40
595,perished,second,male,37,1,0,26,"Southampton, UK",one,31 to 40
207,perished,third,male,32,1,0,15.85,"Southampton, UK",one,31 to 40
606,perished,third,male,36,1,0,15.55,"Southampton, UK",one,31 to 40
41,perished,third,female,40,1,0,9.475,"Southampton, UK",one,31 to 40
666,perished,second,male,32,2,0,73.5,"Southampton, UK",two,31 to 40
149,perished,second,male,36.5,0,2,26,"Southampton, UK",two,31 to 40
549,perished,third,male,33,1,1,20.525,"Southampton, UK",two,31 to 40
617,perished,third,male,34,1,1,14.4,"Southampton, UK",two,31 to 40
596,perished,third,male,36,1,1,24.15,"Southampton, UK",two,31 to 40
105,perished,third,male,37,2,0,7.925,"Southampton, UK",two,31 to 40
154,perished,third,male,40.5,0,2,14.5,"Southampton, UK",two,31 to 40
255,perished,third,female,41,0,2,20.2125,"Southampton, UK",two,31 to 40
861,perished,third,male,41,2,0,14.1083,"Southampton, UK",two,31 to 40
451,perished,second,male,36,1,2,27.75,"Southampton, UK",three,31 to 40
361,perished,third,male,40,1,4,27.9,"Southampton, UK",five,31 to 40
639,perished,third,female,41,0,5,39.6875,"Southampton, UK",five,31 to 40
14,perished,third,male,39,1,5,31.275,"Southampton, UK",six ,31 to 40
611,perished,third,female,39,1,5,31.275,"Southampton, UK",six ,31 to 40
760,survived,first,female,33,0,0,86.5,"Southampton, UK",none,31 to 40
448,survived,first,male,34,0,0,26.55,"Southampton, UK",none,31 to 40
270,survived,first,female,35,0,0,135.6333,"Southampton, UK",none,31 to 40
702,survived,first,male,35,0,0,26.2875,"Southampton, UK",none,31 to 40
513,survived,first,male,36,0,0,26.2875,"Southampton, UK",none,31 to 40
573,survived,first,male,36,0,0,26.3875,"Southampton, UK",none,31 to 40
610,survived,first,female,40,0,0,153.4625,"Southampton, UK",none,31 to 40
191,survived,second,female,32,0,0,13,"Southampton, UK",none,31 to 40
124,survived,second,female,32.5,0,0,13,"Southampton, UK",none,31 to 40
22,survived,second,male,34,0,0,13,"Southampton, UK",none,31 to 40
517,survived,second,female,34,0,0,10.5,"Southampton, UK",none,31 to 40
577,survived,second,female,34,0,0,13,"Southampton, UK",none,31 to 40
212,survived,second,female,35,0,0,21,"Southampton, UK",none,31 to 40
328,survived,second,female,36,0,0,13,"Southampton, UK",none,31 to 40
388,survived,second,female,36,0,0,13,"Southampton, UK",none,31 to 40
162,survived,second,female,40,0,0,15.75,"Southampton, UK",none,31 to 40
347,survived,second,female,40,0,0,13,"Southampton, UK",none,31 to 40
75,survived,third,male,32,0,0,56.4958,"Southampton, UK",none,31 to 40
430,survived,third,male,32,0,0,8.05,"Southampton, UK",none,31 to 40
570,survived,third,male,32,0,0,7.8542,"Southampton, UK",none,31 to 40
580,survived,third,male,32,0,0,7.925,"Southampton, UK",none,31 to 40
839,survived,third,male,32,0,0,56.4958,"Southampton, UK",none,31 to 40
401,survived,third,male,39,0,0,7.925,"Southampton, UK",none,31 to 40
810,survived,first,female,33,1,0,53.1,"Southampton, UK",one,31 to 40
4,survived,first,female,35,1,0,53.1,"Southampton, UK",one,31 to 40
231,survived,first,female,35,1,0,83.475,"Southampton, UK",one,31 to 40
384,survived,first,female,35,1,0,52,"Southampton, UK",one,31 to 40
487,survived,first,female,35,1,0,90,"Southampton, UK",one,31 to 40
225,survived,first,male,38,1,0,90,"Southampton, UK",one,31 to 40
578,survived,first,female,39,1,0,55.9,"Southampton, UK",one,31 to 40
544,survived,second,male,32,1,0,26,"Southampton, UK",one,31 to 40
99,survived,second,female,34,0,1,23,"Southampton, UK",one,31 to 40
519,survived,second,female,36,1,0,26,"Southampton, UK",one,31 to 40
273,survived,second,female,41,0,1,19.5,"Southampton, UK",one,31 to 40
560,survived,third,female,36,1,0,17.4,"Southampton, UK",one,31 to 40
541,survived,first,female,36,0,2,71,"Southampton, UK",two,31 to 40
249,survived,first,male,37,1,1,52.5542,"Southampton, UK",two,31 to 40
559,survived,first,female,39,1,1,79.65,"Southampton, UK",two,31 to 40
507,survived,second,female,33,0,2,26,"Southampton, UK",two,31 to 40
417,survived,second,female,34,1,1,32.5,"Southampton, UK",two,31 to 40
671,survived,second,female,40,1,1,39,"Southampton, UK",two,31 to 40
280,survived,third,female,35,1,1,20.25,"Southampton, UK",two,31 to 40
391,survived,first,male,36,1,2,120,"Southampton, UK",three,31 to 40
764,survived,first,female,36,1,2,120,"Southampton, UK",three,31 to 40
473,survived,second,female,33,1,2,27.75,"Southampton, UK",three,31 to 40
86,survived,third,female,33,3,0,15.85,"Southampton, UK",three,31 to 40
26,survived,third,female,38,1,5,31.3875,"Southampton, UK",six ,31 to 40
340,perished,first,male,45,0,0,35.5,"Southampton, UK",none,41 to 50
537,perished,first,male,45,0,0,26.55,"Southampton, UK",none,41 to 50
332,perished,first,male,45.5,0,0,28.5,"Southampton, UK",none,41 to 50
111,perished,first,male,47,0,0,52,"Southampton, UK",none,41 to 50
463,perished,first,male,47,0,0,38.5,"Southampton, UK",none,41 to 50
516,perished,first,male,47,0,0,34.0208,"Southampton, UK",none,41 to 50
663,perished,first,male,47,0,0,25.5875,"Southampton, UK",none,41 to 50
150,perished,second,male,42,0,0,13,"Southampton, UK",none,41 to 50
398,perished,second,male,46,0,0,26,"Southampton, UK",none,41 to 50
587,perished,second,male,47,0,0,15,"Southampton, UK",none,41 to 50
464,perished,second,male,48,0,0,13,"Southampton, UK",none,41 to 50
724,perished,second,male,50,0,0,13,"Southampton, UK",none,41 to 50
151,perished,second,male,51,0,0,12.525,"Southampton, UK",none,41 to 50
350,perished,third,male,42,0,0,8.6625,"Southampton, UK",none,41 to 50
700,perished,third,male,42,0,0,7.65,"Southampton, UK",none,41 to 50
846,perished,third,male,42,0,0,7.55,"Southampton, UK",none,41 to 50
669,perished,third,male,43,0,0,8.05,"Southampton, UK",none,41 to 50
819,perished,third,male,43,0,0,6.45,"Southampton, UK",none,41 to 50
604,perished,third,male,44,0,0,8.05,"Southampton, UK",none,41 to 50
697,perished,third,male,44,0,0,8.05,"Southampton, UK",none,41 to 50
130,perished,third,male,45,0,0,6.975,"Southampton, UK",none,41 to 50
277,perished,third,female,45,0,0,7.75,"Southampton, UK",none,41 to 50
593,perished,third,male,47,0,0,7.25,"Southampton, UK",none,41 to 50
874,perished,third,male,47,0,0,9,"Southampton, UK",none,41 to 50
772,perished,third,male,48,0,0,7.8542,"Southampton, UK",none,41 to 50
598,perished,third,male,49,0,0,0,"Southampton, UK",none,41 to 50
483,perished,third,male,50,0,0,8.05,"Southampton, UK",none,41 to 50
223,perished,third,male,51,0,0,8.05,"Southampton, UK",none,41 to 50
407,perished,third,male,51,0,0,7.75,"Southampton, UK",none,41 to 50
632,perished,third,male,51,0,0,7.0542,"Southampton, UK",none,41 to 50
36,perished,first,male,42,1,0,52,"Southampton, UK",one,41 to 50
63,perished,first,male,45,1,0,83.475,"Southampton, UK",one,41 to 50
93,perished,first,male,46,1,0,61.175,"Southampton, UK",one,41 to 50
435,perished,first,male,50,1,0,55.9,"Southampton, UK",one,41 to 50
218,perished,second,male,42,1,0,27,"Southampton, UK",one,41 to 50
237,perished,second,male,44,1,0,26,"Southampton, UK",one,41 to 50
855,perished,second,female,44,1,0,26,"Southampton, UK",one,41 to 50
198,perished,third,male,42,0,1,8.4042,"Southampton, UK",one,41 to 50
161,perished,third,male,44,0,1,16.1,"Southampton, UK",one,41 to 50
133,perished,third,female,47,1,0,14.5,"Southampton, UK",one,41 to 50
315,perished,second,male,43,1,1,26.25,"Southampton, UK",two,41 to 50
737,perished,third,female,48,1,3,34.375,"Southampton, UK",four,41 to 50
168,perished,third,female,45,1,4,27.9,"Southampton, UK",five,41 to 50
679,perished,third,female,43,1,6,46.9,"Southampton, UK",seven,41 to 50
708,survived,first,male,42,0,0,26.2875,"Southampton, UK",none,41 to 50
188,survived,first,male,45,0,0,26.55,"Southampton, UK",none,41 to 50
461,survived,first,male,48,0,0,26.55,"Southampton, UK",none,41 to 50
863,survived,first,female,48,0,0,25.9292,"Southampton, UK",none,41 to 50
797,survived,first,female,49,0,0,25.9292,"Southampton, UK",none,41 to 50
858,survived,first,male,51,0,0,26.55,"Southampton, UK",none,41 to 50
289,survived,second,male,42,0,0,13,"Southampton, UK",none,41 to 50
866,survived,second,female,42,0,0,13,"Southampton, UK",none,41 to 50
707,survived,second,female,45,0,0,13.5,"Southampton, UK",none,41 to 50
459,survived,second,female,50,0,0,10.5,"Southampton, UK",none,41 to 50
527,survived,second,female,50,0,0,10.5,"Southampton, UK",none,41 to 50
415,survived,third,male,44,0,0,7.925,"Southampton, UK",none,41 to 50
339,survived,third,male,45,0,0,8.05,"Southampton, UK",none,41 to 50
622,survived,first,male,42,1,0,52.5542,"Southampton, UK",one,41 to 50
780,survived,first,female,43,0,1,211.3375,"Southampton, UK",one,41 to 50
713,survived,first,male,48,1,0,52,"Southampton, UK",one,41 to 50
766,survived,first,female,51,1,0,77.9583,"Southampton, UK",one,41 to 50
433,survived,second,female,42,1,0,26,"Southampton, UK",one,41 to 50
260,survived,second,female,50,0,1,26,"Southampton, UK",one,41 to 50
857,survived,first,female,45,1,1,164.8667,"Southampton, UK",two,41 to 50
872,survived,first,female,47,1,1,52.5542,"Southampton, UK",two,41 to 50
661,survived,first,male,50,2,0,133.65,"Southampton, UK",two,41 to 50
441,survived,second,female,45,1,1,26.25,"Southampton, UK",two,41 to 50
755,survived,second,female,48,1,2,65,"Southampton, UK",three,41 to 50
7,perished,first,male,54,0,0,51.8625,"Southampton, UK",none,51 to 60
493,perished,first,male,55,0,0,30.5,"Southampton, UK",none,51 to 60
468,perished,first,male,56,0,0,26.55,"Southampton, UK",none,51 to 60
695,perished,first,male,60,0,0,26.55,"Southampton, UK",none,51 to 60
